id,title,category,description
transport-timetables,Transport Timetables,Transport,Info about that
budget,Government Budget,Finance,Info about that
government-spending,Government Spending,Finance,Info about that
elections,Election Results,Civic Information,Info about that
companies,Company Register,Civic Information,Info about that
statistics,National Statistics,Civic Information,Info about that
postcodes,Postcodes / Zipcodes,Geodata,Info about that
emissions,Emissions of pollutants,Environment,Info about that
