id,title,category,description,icon,score,rank,score_2013,rank_2013
budget,Government Budget,Finance,"National government budget at a high level (e.g. spending by sector, department etc). This category is about *budgets* which are government *plans* for expenditure (not actual expenditure in the past).",None,62,2,61,2
spending,Government Spending,Finance,Records of actual (past) national government spending at a detailed transactional level; at the level of month to month government expenditure on specific items (usually this means individual records of spending amounts under $1m or even under $100k). (Note: Just a database of contracts awarded or similar is *not* considered sufficient. This data category refers to detailed ongoing data on *actual* expenditure),None,17,10,22,8
