id,title,category,description,icon,score,rank,score_2013,rank_2013
elections,Election Results,Civic Information,Results by constituency / district for all major national electoral contests,None,57,3,61,2
companies,Company Register,Civic Information,"List of registered (limited liability) companies including name, unique identifier and additional information such as address, registered activities. The submissions in this data category does not need to include detailed financial data such as balance sheet etc.",None,38,7,40,6
statistics,National Statistics,Civic Information,"Key national statistics such as demographic and economic indicators (GDP, unemployment, population, etc). Aggregate data (e.g. GDP for whole country at a quarterly level, or population at an annual level) is also considered acceptable in this data category. In general, answers of 'yes' in this category refers to entries with a reasonable amount of both economic and demographic information available.",None,63,1,62,1
